URL,Size,# of outlinks,Content-type
https://www.foxnews.com/entertainment/trump-prompts-confusion-gay-bollywood-tweet,74653,182,TEXT/HTML
https://www.foxnews.com/category/entertainment/events/departed,62350,176,TEXT/HTML
https://www.foxnews.com/category/politics/house-of-representatives,64662,176,TEXT/HTML
https://www.foxnews.com/politics/bernie-sanders-unearthed-video-recalling-excitement-castro-revolution-cuba,72844,175,TEXT/HTML
https://www.foxnews.com/entertainment/lena-waithe-the-chi-jason-mitchell-misconduct,75444,179,TEXT/HTML
https://www.foxnews.com/opinion/adam-goodman-at-tuesdays-democratic-debate-bloomberg-should-take-advice-from-rocky-and-show-up-as-a-fighter,77120,173,TEXT/HTML
https://www.foxnews.com/health/coronavirus-infections-italy-south-korea-iran-outbreak-europe-spread,91042,184,TEXT/HTML
https://www.foxnews.com/apps-products,51596,183,TEXT/HTML
https://www.foxnews.com/entertainment/octavia-spencer-jessica-chastain-helped-me-earn-5-times-my-asking-salary,77880,181,TEXT/HTML
https://www.foxnews.com/entertainment/duck-dynasty-missy-robertson-changing-lives-faith-based-show-restored,96812,192,TEXT/HTML
https://www.foxnews.com/category/entertainment/genres/pets,62485,177,TEXT/HTML
https://www.foxnews.com/category/us/military,63395,176,TEXT/HTML
https://www.foxnews.com/entertainment/meghan-markle-forces-for-change-vogue-game-changers,82271,186,TEXT/HTML
https://www.foxnews.com/health/chronic-fatigue-syndrome-causes-when-to-seek-help,66624,165,TEXT/HTML
https://www.foxnews.com/lifestyle/dog-picasso-thriving-new-home-owner-says,78307,172,TEXT/HTML
https://www.foxnews.com/politics/biden-russian-bots-facebook-bernie-sanders,82880,176,TEXT/HTML
https://www.foxnews.com/entertainment/bill-condon-on-beauty-and-the-beast-gay-controversy-im-sort-of-sick-of-this,72536,178,TEXT/HTML
https://www.foxnews.com/us.html,158331,295,TEXT/HTML
https://www.foxnews.com/tech/new-army-technology-fast-tracks-damaged-tanks-combat,70960,166,TEXT/HTML
https://www.foxnews.com/politics/aaa-calls-dc-parking-and-traffic-enforcement-predatory-as-city-issues-record-1-billion-in-tickets,74031,170,TEXT/HTML
https://www.foxnews.com/shows/the-daily-briefing,120292,250,TEXT/HTML
https://www.foxnews.com/lifestyle/pit-bull-abusive-dad-boy-drops-at-shelter.amp,65809,138,TEXT/HTML
https://www.foxnews.com/category/tech/technologies/drones,64180,174,TEXT/HTML
https://www.foxnews.com/entertainment/kelsey-grammer-65-look-back-biggest-moments,92434,199,TEXT/HTML
https://www.foxnews.com/category/faith-values/faith,62086,177,TEXT/HTML
https://www.foxnews.com/media/steve-doocy-crunch-for-a-vet-robert-irvine,71144,174,TEXT/HTML
https://www.foxnews.com/shows/fox-and-friends,220059,376,TEXT/HTML
https://www.foxnews.com/entertainment/ali-wong-kiss-keanu-reeves-daniel-dae-kim,73809,183,TEXT/HTML
https://www.foxnews.com/us/five-victims-identified-deadly-wrong-way-crash-georgia-interstate,71981,169,TEXT/HTML
https://www.foxnews.com/category/tech/topics/video-games,62044,176,TEXT/HTML
https://www.foxnews.com/opinion/andrew-mccarthy-stone-sentencing-ends-russia-collusion-part-i-but-dems-cooking-up-even-weaker-sequel.amp,67463,135,TEXT/HTML
https://www.foxnews.com/politics/bloomberg-campaign-office-vandalized-utah,77343,171,TEXT/HTML
https://www.foxnews.com/shows/next-revolution-steve-hilton,96686,205,TEXT/HTML
https://www.foxnews.com/media/democratic-debate-mike-bloomberg-coal,75555,175,TEXT/HTML
https://www.foxnews.com/category/opinion,64757,177,TEXT/HTML
https://www.foxnews.com/category/world/personalities/british-royals,64232,176,TEXT/HTML
https://www.foxnews.com/category/columns/digging-history,62821,177,TEXT/HTML
https://www.foxnews.com/person/l/tomi-lahren,62774,170,TEXT/HTML
https://www.foxnews.com/shows/life-liberty-levin,84423,185,TEXT/HTML
https://www.foxnews.com/category/us/crime/police-and-law-enforcement,64959,177,TEXT/HTML
https://www.foxnews.com/category/person/donald-trump,65325,176,TEXT/HTML
https://www.foxnews.com/media/ww2-veteran-ervin-julian-carried-trump-rally-fox-friends,76630,176,TEXT/HTML
https://www.foxnews.com/science/mad-mike-hughes-64-homemade-rocket-daredevil-killed-in-mishap.amp,66005,132,TEXT/HTML
https://www.foxnews.com/person/a/david-aaro,55540,166,TEXT/HTML
https://www.foxnews.com/category/shows/fox-friends/all-american-summer-concert-series,102143,228,TEXT/HTML
https://www.foxnews.com/category/fox-nation,63697,177,TEXT/HTML
https://www.foxnews.com/category/us/us-regions/southeast/florida,63222,176,TEXT/HTML
https://www.foxnews.com/entertainment/quentin-tarantino-wife-welcome-child,71340,183,TEXT/HTML
https://www.foxnews.com/opinion/sen-chuck-grassley-religious-freedom-under-attack-us-promote-liberty-globally,79717,173,TEXT/HTML
https://www.foxnews.com/media/zombie-biden-after-nevada-caucuses-is-curtains-for-mainstream-democratic-party-chris-stirewalt,76387,175,TEXT/HTML
https://www.foxnews.com/category/shows/journal-editorial-report/transcript,63102,176,TEXT/HTML
https://www.foxnews.com/us/police-dog-killed-in-line-of-duty-to-be-honored-with-custom-painted-casket.amp,67259,136,TEXT/HTML
